datum,oib,primatelj,mjesto,iznos,valuta,opis,pozivNaBroj,iban,sifraPK,nazivPK,tipOsobe,isplateUuid,brojUgovora,konto_sifra,konto_naziv,konto_iznos
2024-01-08 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,1400.00,EUR,,HR99,,,,P,9f759ff6-1807-408b-a75c-fb5e273d2af1,,3213,Stručno usavršavanje zaposlenika,1400
2024-01-04 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,7512141f-fb73-4d80-8514-2153dfade4a8,,3238,Računalne usluge,6115.2
2024-01-04 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,a4d5734d-e029-4e09-9ba3-7a84d8c2c60b,,3238,Računalne usluge,815.5
2023-12-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,ea7c543c-d524-440d-bb57-62fb80ca43ba,,3238,Računalne usluge,815.5
2023-12-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,0b2bb0bd-fd15-46e2-996a-406af90b154b,,3238,Računalne usluge,6115.2
2023-12-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,8e783e9d-0e65-4330-a630-7efe3646988a,,3238,Računalne usluge,6115.2
2023-12-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,7ca58c4d-fae3-4b1c-86f9-8f022bb921b1,,3238,Računalne usluge,815.5
2023-12-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,e27c42a7-0f53-4603-9c84-99b88b06e39f,,3238,Računalne usluge,6115.2
2023-12-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,fa4e2bd4-ceab-4e9e-9ee0-787643d53040,,3238,Računalne usluge,815.5
2023-12-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,e2d331ab-8105-4e13-98e0-0ebaff5382c9,,3238,Računalne usluge,815.5
2023-12-06 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,200.00,EUR,,HR99,,,,P,7c4e5144-3350-421b-a8da-824ceace7cbd,,3213,Stručno usavršavanje zaposlenika,200
2023-11-28 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,100.00,EUR,,HR99,,,,P,7d01757a-9cf5-4858-b17a-29ff50ca5d84,,3213,Stručno usavršavanje zaposlenika,100
2023-11-10 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,fc9edfa5-dba5-40b4-affa-d37b2b460002,,3238,Računalne usluge,6115.2
2023-10-03 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,7133.85,EUR,,HR99,,,,P,4b9c4cee-d0c0-4875-992d-748a22fbe56e,,3238,Računalne usluge,7133.85
2023-09-29 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,11185.01,EUR,,HR99,,,,P,719b9ad9-9935-41f3-b11b-70927ebc6b6a,,3238,Računalne usluge,11185.01
2023-09-25 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,1617.50,EUR,,HR99,,,,P,2b006652-ca25-4526-95d6-f6fafd65d1ce,,3238,Računalne usluge,1617.5
2023-09-01 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,6c3591f4-f63e-4286-adf3-3fce2c6adb8e,,3238,Računalne usluge,6115.2
2023-08-18 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,75.00,EUR,,HR99,,,,P,ea23c75e-0402-4e26-89f2-b2aafb068df8,,3213,Stručno usavršavanje zaposlenika,75
2023-08-18 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,525.00,EUR,,HR99,,,,P,ff073f30-f7a7-4566-9b55-8cc4982b33e8,,3213,Stručno usavršavanje zaposlenika,525
2023-07-14 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,7afee9d1-a432-463e-87da-93f36fa7ae4a,,3238,Računalne usluge,6115.2
2023-07-06 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,2e12c71f-280c-4fda-86e0-fe9e089d732b,,3238,Računalne usluge,6115.2
2023-06-07 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,b13e9cd7-6cbc-42bf-a2f0-fc67d3990791,,3238,Računalne usluge,6115.2
2023-04-28 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,6e32d2df-431c-4482-85c3-e878819f8363,,3238,Računalne usluge,6115.2
2023-04-03 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,3b81cae7-505a-4357-9219-da41acc41d38,,3238,Računalne usluge,6115.2
2023-02-28 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,bc524e91-4060-4b10-9077-bdb45f6953d8,,3238,Računalne usluge,6115.2
2023-01-30 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,7eadb962-b6af-46d7-9aa7-5fd36e03b0f2,,3238,Računalne usluge,6115.2
2023-01-16 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,a85e4021-4487-4bdd-bac6-08643db99a8d,,3238,Računalne usluge,6115.2
2022-12-02 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,46.45,EUR,,HR99,,,,P,6c29ef53-7ca0-438c-9e19-867e395dd54c,,3213,Stručno usavršavanje zaposlenika,46.45
2022-11-30 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,18345.61,EUR,,HR99,,,,P,2d62c408-1478-4989-9f95-43daa0b72576,,3238,Računalne usluge,18345.61
2022-11-29 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,4a98beef-ac99-4249-ab7e-4960ff9b41f6,,3238,Računalne usluge,6115.2
2022-10-31 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,7133.85,EUR,,HR99,,,,P,9a99eca0-1f12-4360-a953-412faa0116c5,,3238,Računalne usluge,7133.85
2022-10-18 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,123.40,EUR,,HR99,,,,P,d90ddb4a-9163-4160-a879-fdb847418c84,,3238,Računalne usluge,123.4
2022-10-12 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,493.60,EUR,,HR99,,,,P,e36ce4bc-6ac1-4034-a3e9-5c88a17498f2,,3238,Računalne usluge,493.6
2022-07-27 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,04a45b97-8e74-4b8a-84c1-452a5ba0c864,,3238,Računalne usluge,6115.2
2022-07-27 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,14126.15,EUR,,HR99,,,,P,12a459b0-33b8-4290-8de3-bdddc310711d,,3238,Računalne usluge,14126.15
2022-06-28 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,1cc30d2b-710b-4d74-801d-7ef0f75c13f7,,3238,Računalne usluge,6115.2
2022-06-08 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,a339c20d-94d7-41b4-bfee-3263a32c509b,,3238,Računalne usluge,6115.2
2022-05-03 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,8dc93043-ec53-4b7b-820a-e5e4ed6dc08f,,3238,Računalne usluge,6115.2
2022-04-25 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,74f10878-a146-44f0-b746-d1ee40b97495,,3238,Računalne usluge,6115.2
2022-03-23 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,2749.85,EUR,,HR99,,,,P,edd16f14-34b1-4ad4-a020-ad574fe0360b,,3238,Računalne usluge,2749.85
2022-03-15 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,323.51,EUR,,HR99,,,,P,7db458d0-eb08-483c-81d0-b5418e46dbfa,,3238,Računalne usluge,323.51
2022-03-01 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,89289.27,EUR,,HR99,,,,P,0a3312c7-3e89-4024-b62a-8c349c6fd008,,3238,Računalne usluge,89289.27
2022-02-18 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,75987.13,EUR,,HR99,,,,P,87b72e47-34c4-4c24-aa0e-74b862eaf6ea,,3238,Računalne usluge,75987.13
